
 	activityId	subjectId	timeBodyAccMagnitudeMean	timeBodyAccMagnitudeStdDev	timeGravityAccMagnitudeMean	timeGravityAccMagnitudeStdDev	timeBodyAccJerkMagnitudeMean	timeBodyAccJerkMagnitudeStdDev	timeBodyGyroMagnitudeMean	timeBodyGyroMagnitudeStdDev	timeBodyGyroJerkMagnitudeMean	timeBodyGyroJerkMagnitudeStdDev	freqBodyAccMagnitudeMean	freqBodyAccMagnitudeStdDev	freqBodyAccJerkMagnitudeMean	freqBodyAccJerkMagnitudeStdDev	freqBodyGyroMagnitudeMean	freqBodyGyroMagnitudeStdDev	freqBodyGyroJerkMagnitudeMean	freqBodyGyroJerkMagnitudeStdDev	activityType
13	1	6	-1.383964e-01	-0.2373342800	-1.383964e-01	-0.2373342800	-0.1498700600	-0.0590725960	-0.2755816400	-0.365709380	-0.249705830	-0.276984470	-0.1928923300	-0.38193500	-0.0531195010	-0.0725450760	-0.2614735600	-0.5764866500	-0.2585223400	-0.352743550	WALKING
14	1	3	-2.559707e-01	-0.2993070800	-2.559707e-01	-0.2993070800	-0.2499754700	-0.1374285100	-0.4895418100	-0.567061230	-0.559642470	-0.564155590	-0.3041833200	-0.40516444	-0.2444113000	-0.0186082280	-0.5910796800	-0.6247674100	-0.6351855900	-0.512532590	WALKING
15	1	6	-1.097349e-01	-0.2038719500	-1.097349e-01	-0.2038719500	-0.1249443300	-0.0600596640	-0.2282657200	-0.305077560	-0.144339170	-0.181229880	-0.1371387700	-0.36759021	-0.0356058830	-0.0958975090	-0.2416564700	-0.4823858700	-0.2243542500	-0.183931870	WALKING
16	1	6	-1.255604e-01	-0.1770835100	-1.255604e-01	-0.1770835100	-0.1359391800	-0.0118748080	-0.2508114200	-0.281129480	-0.163133370	-0.122560260	-0.0682991340	-0.37345468	-0.0434814980	0.0200459770	-0.2305784800	-0.4501399600	-0.1572373000	-0.139893670	WALKING
17	1	11	-2.099941e-01	-0.4520763900	-2.099941e-01	-0.4520763900	-0.3240034800	-0.3125073800	-0.4413403000	-0.590513010	-0.615466100	-0.701828740	-0.4220309400	-0.55448521	-0.2910896900	-0.3437422400	-0.6134666500	-0.6449496100	-0.7137017600	-0.707168360	WALKING
18	1	6	-8.558270e-02	-0.1647458000	-8.558270e-02	-0.1647458000	-0.0715862630	-0.0638178890	-0.2036701100	-0.331421210	-0.164297880	-0.305314390	-0.1820247200	-0.28475132	-0.0937704840	-0.0325974980	-0.2699620800	-0.5025765300	-0.2761460300	-0.395832520	WALKING
19	1	11	-2.229588e-01	-0.4988185900	-2.229588e-01	-0.4988185900	-0.3090737100	-0.3388705600	-0.4402590000	-0.595681260	-0.606472090	-0.739238580	-0.4556990400	-0.60233965	-0.3303260000	-0.3537672600	-0.6227608600	-0.6462574900	-0.7401938700	-0.756218200	WALKING
20	1	30	-2.751053e-01	-0.3723826200	-2.751053e-01	-0.3723826200	-0.4550646700	-0.4631502600	-0.0764047310	-0.357799180	-0.530977240	-0.557267020	-0.3973206800	-0.45588209	-0.4653481500	-0.4620344900	-0.4257721500	-0.4213454200	-0.5594301800	-0.585628410	WALKING
21	1	6	-1.047903e-01	-0.1909668600	-1.047903e-01	-0.1909668600	-0.0919797790	-0.1130272800	-0.1171966700	-0.173299340	-0.110143570	-0.243788300	-0.1595115900	-0.33480757	0.0018165373	-0.2870180200	-0.0913678380	-0.3900382300	-0.2183707700	-0.333615000	WALKING
22	1	21	-1.172088e-01	-0.2815043900	-1.172088e-01	-0.2815043900	-0.1256011700	-0.0893256880	-0.3002056800	-0.450667600	-0.450964980	-0.485588070	-0.1700043400	-0.46461950	-0.1366338200	-0.0344546180	-0.4058590200	-0.5859846200	-0.5051447900	-0.496248710	WALKING
23	1	3	-2.804249e-01	-0.3501730400	-2.804249e-01	-0.3501730400	-0.3101726400	-0.1993368800	-0.5179667400	-0.584234870	-0.596412230	-0.619854630	-0.3402655300	-0.45641146	-0.2561764300	-0.1318311200	-0.5767097100	-0.6632818000	-0.6393471900	-0.621222330	WALKING
24	1	30	-2.387818e-01	-0.3770289500	-2.387818e-01	-0.3770289500	-0.4181866200	-0.3733145600	-0.1051865700	-0.312588730	-0.525915120	-0.584956170	-0.3720243400	-0.47625515	-0.3747323600	-0.3741981100	-0.4166059000	-0.3610626300	-0.5890693700	-0.608428690	WALKING
25	1	3	-2.004356e-01	-0.3101953000	-2.004356e-01	-0.3101953000	-0.1780610100	-0.0762926000	-0.4306943400	-0.512726130	-0.482039270	-0.485027090	-0.2955039300	-0.42512343	-0.1702269600	0.0255900880	-0.5318303500	-0.5835381700	-0.5272318900	-0.468727140	WALKING
26	1	23	-9.171799e-02	-0.1552835900	-9.171799e-02	-0.1552835900	-0.0671649970	-0.0185125850	0.0179567870	0.247685320	0.134758060	0.394026010	-0.0892065890	-0.32591873	-0.0251705070	-0.0171947110	0.3805238500	-0.0894367120	0.3406251300	0.364514910	WALKING
27	1	14	-9.347113e-02	-0.2581720000	-9.347113e-02	-0.2581720000	-0.3160106100	-0.3878031200	-0.0869000810	-0.147355380	-0.471403730	-0.570434390	-0.2383881200	-0.38454248	-0.3395747900	-0.4594596800	-0.2202317800	-0.2433965800	-0.5632925200	-0.610408140	WALKING
28	1	30	-2.399589e-01	-0.3871326700	-2.399589e-01	-0.3871326700	-0.4217846400	-0.3990512200	-0.1133834500	-0.296972880	-0.521622180	-0.586303500	-0.3816809100	-0.48505433	-0.3890141700	-0.4120201700	-0.4049435200	-0.3455843700	-0.5900876300	-0.610236020	WALKING
29	1	11	-2.417590e-01	-0.4701918900	-2.417590e-01	-0.4701918900	-0.3215701900	-0.2974817700	-0.4549493500	-0.569030530	-0.617717330	-0.732542430	-0.4469661100	-0.56559979	-0.3013761100	-0.2964289600	-0.5978555400	-0.6229907500	-0.7263708900	-0.758392330	WALKING
30	1	11	-2.099542e-01	-0.4238676200	-2.099542e-01	-0.4238676200	-0.2839636500	-0.2185974900	-0.3964258300	-0.515469780	-0.577827120	-0.683168320	-0.3758836300	-0.54199581	-0.2142278200	-0.2294445200	-0.5465135200	-0.5771654300	-0.6953373200	-0.689334460	WALKING
31	1	5	-5.479866e-02	-0.3149997500	-5.479866e-02	-0.3149997500	-0.1838465900	-0.2270316400	-0.2587544000	-0.443266500	-0.384798340	-0.435413210	-0.2427525600	-0.46561936	-0.2097908200	-0.2542849300	-0.4425018800	-0.5414226600	-0.4731754800	-0.427072000	WALKING
32	1	21	-2.152660e-01	-0.3653739900	-2.152660e-01	-0.3653739900	-0.2184917400	-0.2269593000	-0.3427689400	-0.423216720	-0.452653490	-0.461801650	-0.2900730600	-0.51054864	-0.2286443600	-0.2258397600	-0.4337427700	-0.5161937400	-0.4854684100	-0.468655950	WALKING
33	1	26	-2.912103e-02	-0.3152054800	-2.912103e-02	-0.3152054800	-0.2256705600	-0.2881224300	-0.3237899400	-0.550323340	-0.505621880	-0.625878320	-0.3162070500	-0.42074069	-0.2424285400	-0.3560223700	-0.5481647800	-0.6302249800	-0.6001085500	-0.690251690	WALKING
34	1	6	-1.728813e-01	-0.1559494400	-1.728813e-01	-0.1559494400	-0.1106498700	-0.0555290560	-0.2239207800	-0.144491770	-0.153472860	-0.095988993	-0.0143251860	-0.37927942	-0.0575179600	-0.0596342670	-0.1180210700	-0.3165194800	-0.1536074900	-0.087357701	WALKING
35	1	26	-3.399040e-01	-0.4937229200	-3.399040e-01	-0.4937229200	-0.3999386300	-0.3660098400	-0.4621828100	-0.603317970	-0.528469790	-0.642723370	-0.4436651000	-0.60257539	-0.4039427200	-0.3242247800	-0.5984561500	-0.6768159300	-0.6743595600	-0.628602370	WALKING
36	1	6	-1.577584e-01	-0.3012891700	-1.577584e-01	-0.3012891700	-0.1968147000	-0.0826749690	-0.2959964400	-0.303938180	-0.260963570	-0.263866250	-0.2253655600	-0.45645818	-0.0962825000	-0.0720554900	-0.2156969900	-0.5066174900	-0.2427901000	-0.345953790	WALKING
37	1	3	-2.319254e-01	-0.2440055500	-2.319254e-01	-0.2440055500	-0.2015921200	-0.0833493340	-0.4693762200	-0.586483610	-0.555591410	-0.625691170	-0.1591121200	-0.41387981	-0.1075519400	-0.0589429550	-0.5882534500	-0.6573401200	-0.6645719900	-0.604732190	WALKING
38	1	30	-2.037125e-01	-0.3546123300	-2.037125e-01	-0.3546123300	-0.3876724300	-0.3895628100	-0.1108260100	-0.325355440	-0.513389560	-0.557608480	-0.3528633100	-0.45552234	-0.3610563400	-0.4319152100	-0.4128517000	-0.3819006000	-0.5582545300	-0.587998890	WALKING
39	1	3	-2.278466e-01	-0.3170633700	-2.278466e-01	-0.3170633700	-0.1948100000	-0.1156394900	-0.4008749500	-0.561566330	-0.499865110	-0.553310740	-0.3209712700	-0.42056159	-0.2195225100	-0.0002462208	-0.5773346900	-0.6263024400	-0.6048028500	-0.521195120	WALKING
40	1	3	-2.948128e-01	-0.3624818000	-2.948128e-01	-0.3624818000	-0.2940527900	-0.1586229300	-0.4712693400	-0.590146220	-0.582131290	-0.564086390	-0.3090495800	-0.49347682	-0.2063955700	-0.1050623200	-0.6083385200	-0.6480926900	-0.6281289200	-0.520006620	WALKING
41	1	5	-5.456419e-02	-0.3329297900	-5.456419e-02	-0.3329297900	-0.2274879000	-0.2715028400	-0.3248864600	-0.458918830	-0.338848540	-0.375044940	-0.2046955400	-0.52173822	-0.2438741300	-0.3125537300	-0.4374253500	-0.5712337100	-0.4496756000	-0.329991920	WALKING
42	1	14	-1.291378e-01	-0.2463544000	-1.291378e-01	-0.2463544000	-0.3599199200	-0.4307478600	-0.0535069950	-0.096095307	-0.467378110	-0.567756690	-0.3230728200	-0.32334961	-0.4041477700	-0.4685831900	-0.2105638100	-0.1737111700	-0.5706268900	-0.594389460	WALKING
43	1	3	-3.021344e-01	-0.3511210800	-3.021344e-01	-0.3511210800	-0.3033816100	-0.1728983800	-0.4892288800	-0.562353650	-0.593893450	-0.571322410	-0.3336217900	-0.46166747	-0.2744699900	-0.0607204530	-0.5793311800	-0.6260669800	-0.6402354100	-0.521842740	WALKING
44	1	6	-1.175246e-01	-0.2010625800	-1.175246e-01	-0.2010625800	-0.1832021800	-0.1340302900	-0.1857115100	-0.301798580	-0.142860450	-0.307439730	-0.2065343500	-0.32198763	-0.0986022870	-0.1855420500	-0.2046837200	-0.5137375300	-0.2693606200	-0.410042580	WALKING
45	1	27	-2.354093e-01	-0.4088321900	-2.354093e-01	-0.4088321900	-0.2244096100	-0.2439616700	-0.4695033400	-0.605226420	-0.618231440	-0.716566720	-0.3631524800	-0.52775886	-0.2340946400	-0.2615211000	-0.6366482800	-0.6507115500	-0.7076596900	-0.748364630	WALKING
46	1	21	-3.241985e-02	-0.2368511200	-3.241985e-02	-0.2368511200	-0.0397488770	0.0348094980	-0.2639875500	-0.429390580	-0.406315970	-0.432731520	-0.2151376100	-0.36774655	-0.1049119200	0.1857523200	-0.4158191000	-0.5405440700	-0.4751474000	-0.419748530	WALKING
47	1	24	-2.313397e-01	-0.4202699200	-2.313397e-01	-0.4202699200	-0.3166548900	-0.3807463300	-0.3872465800	-0.529959370	-0.452596620	-0.530611300	-0.3387096200	-0.56183010	-0.3378737300	-0.4409966300	-0.4963851800	-0.6412028400	-0.5002556500	-0.607588120	WALKING
48	1	21	-1.605934e-01	-0.4026669100	-1.605934e-01	-0.4026669100	-0.2171302700	-0.1924077400	-0.3390969500	-0.528111560	-0.509667670	-0.551830090	-0.3876061800	-0.50369584	-0.2693472900	-0.1081286000	-0.5079716600	-0.6276845900	-0.5642387600	-0.566800560	WALKING
49	1	3	-3.123645e-01	-0.4381424700	-3.123645e-01	-0.4381424700	-0.3731255000	-0.2509957800	-0.5172930200	-0.634610860	-0.633207970	-0.674044080	-0.4069687600	-0.54337516	-0.2546180500	-0.2488891200	-0.6517557600	-0.6855542600	-0.7106876100	-0.650856300	WALKING
50	1	6	-1.233237e-01	-0.3142528400	-1.233237e-01	-0.3142528400	-0.0927891420	-0.0919069560	-0.2369901500	-0.272567370	-0.173547110	-0.231441700	-0.1871394400	-0.50341339	-0.0782356570	-0.1161834100	-0.1710820400	-0.4934607600	-0.2083255100	-0.319024480	WALKING
51	1	14	-5.947624e-02	-0.2793202800	-5.947624e-02	-0.2793202800	-0.3060949700	-0.3407207600	-0.1437261300	-0.169721600	-0.487637620	-0.576614910	-0.3223366900	-0.36778476	-0.3367543400	-0.3496031600	-0.2748596100	-0.2409913200	-0.5447096500	-0.648664700	WALKING
52	1	3	-2.621935e-01	-0.3785271100	-2.621935e-01	-0.3785271100	-0.3232714200	-0.1613877500	-0.4899756600	-0.580737770	-0.567440170	-0.536288050	-0.3551425600	-0.48831566	-0.2349370300	-0.0812292380	-0.5703975100	-0.6625248700	-0.5757850300	-0.520103010	WALKING
53	1	5	-6.076537e-02	-0.3141918300	-6.076537e-02	-0.3141918300	-0.2142698300	-0.2455889800	-0.3254606100	-0.487633910	-0.361881170	-0.419822670	-0.1662884700	-0.52141011	-0.1639382900	-0.3683603200	-0.4572943600	-0.6031522700	-0.4759318900	-0.391488220	WALKING
54	1	3	-2.264604e-01	-0.3109478300	-2.264604e-01	-0.3109478300	-0.2541619000	-0.1158755600	-0.4564039900	-0.494918200	-0.508295600	-0.481815890	-0.2508524400	-0.45393596	-0.1463263000	-0.0843504680	-0.5084014400	-0.5729829700	-0.5378795300	-0.450724010	WALKING
55	1	30	-1.888611e-01	-0.3576913700	-1.888611e-01	-0.3576913700	-0.3751887600	-0.3568313600	-0.0179436900	-0.281056840	-0.502238070	-0.555161210	-0.3305128400	-0.47292190	-0.3337873100	-0.3913436200	-0.3803398900	-0.3375136900	-0.5701340800	-0.566630870	WALKING
56	1	6	-8.181981e-02	-0.2066733800	-8.181981e-02	-0.2066733800	-0.0906548210	-0.0134119100	-0.2093243300	-0.302365540	-0.156346120	-0.186789460	-0.1864463400	-0.34140655	-0.0090298664	-0.0259690410	-0.2681460800	-0.4528820800	-0.2530199900	-0.162336920	WALKING
57	1	3	-4.514647e-01	-0.4532511100	-4.514647e-01	-0.4532511100	-0.4989722100	-0.3972224000	-0.5404956700	-0.603235270	-0.693923610	-0.674686630	-0.4219499900	-0.55625787	-0.4440362800	-0.3443037700	-0.6593529100	-0.6334298700	-0.7372052600	-0.627948710	WALKING
58	1	26	-1.202094e-01	-0.4489222800	-1.202094e-01	-0.4489222800	-0.2336822300	-0.3367795600	-0.3209138900	-0.532820210	-0.503286520	-0.659023480	-0.3841823500	-0.57447078	-0.2902967800	-0.4050033300	-0.5441072800	-0.6059885600	-0.6404618500	-0.710316030	WALKING
59	1	26	-7.317779e-02	-0.2606331900	-7.317779e-02	-0.2606331900	-0.2066562800	-0.2560093200	-0.3508006700	-0.569425170	-0.490418060	-0.630464220	-0.2745604300	-0.36753079	-0.2224675200	-0.2998190900	-0.5854565400	-0.6325455900	-0.6072271500	-0.689778520	WALKING
60	1	30	-2.521441e-01	-0.4293384400	-2.521441e-01	-0.4293384400	-0.3806243200	-0.3800294400	-0.0914884250	-0.297650470	-0.498309330	-0.552997560	-0.4053371300	-0.53157246	-0.3877862300	-0.3693061700	-0.3912806900	-0.3549555000	-0.5711468900	-0.560933180	WALKING
61	1	6	-7.401478e-02	-0.1438120000	-7.401478e-02	-0.1438120000	-0.0406355950	0.2034074800	-0.2115816600	-0.204795650	-0.123562430	0.031399574	-0.0449730540	-0.33777097	0.2098610500	0.1966057500	-0.1029944300	-0.4364437600	-0.0065349906	0.008240961	WALKING
62	1	22	6.121003e-02	-0.1385784200	6.121003e-02	-0.1385784200	0.0233953530	0.1511167600	-0.2232657400	-0.366584670	-0.401354440	-0.467116340	0.0139062230	-0.37128170	0.1110313100	0.1923374000	-0.3614079700	-0.4819027400	-0.5344113300	-0.425040430	WALKING
63	1	26	-3.631418e-01	-0.5270617200	-3.631418e-01	-0.5270617200	-0.4278048400	-0.4237057600	-0.4768735800	-0.625780110	-0.547309140	-0.660175750	-0.4979917500	-0.61713992	-0.4347489200	-0.4132358100	-0.6154392000	-0.6998554300	-0.6959263900	-0.639828440	WALKING
64	1	27	-1.918834e-01	-0.3457127300	-1.918834e-01	-0.3457127300	-0.1674017700	-0.1829786600	-0.4315091700	-0.577755820	-0.566653850	-0.661220430	-0.2568805300	-0.50281933	-0.1883922700	-0.1817271000	-0.5817391000	-0.6484844800	-0.6611676900	-0.681161540	WALKING
65	1	5	-1.016242e-01	-0.3324054500	-1.016242e-01	-0.3324054500	-0.2314864800	-0.2675367500	-0.3639240600	-0.476170740	-0.423787840	-0.435966890	-0.1978491400	-0.52638186	-0.2038764300	-0.3630792700	-0.4228599800	-0.6150501300	-0.4798232800	-0.420763120	WALKING
66	1	1	-2.004798e-01	-0.3281616900	-2.004798e-01	-0.3281616900	-0.2510586100	-0.1466619700	-0.2588424300	-0.253751030	-0.387325230	-0.400401950	-0.2687396100	-0.46823901	-0.1556575400	-0.1412157800	-0.2352991900	-0.3998752600	-0.3858792800	-0.463288990	WALKING
67	1	3	-2.895340e-01	-0.3316912100	-2.895340e-01	-0.3316912100	-0.2985879500	-0.1233888800	-0.4802331100	-0.612682330	-0.588242880	-0.569079810	-0.3070933100	-0.44950495	-0.1865134000	-0.0535755610	-0.6159940400	-0.6779764900	-0.6243527000	-0.534052750	WALKING
68	1	26	-8.285916e-02	-0.2866968400	-8.285916e-02	-0.2866968400	-0.1859724600	-0.2722159700	-0.3581928000	-0.500486060	-0.496589980	-0.534164460	-0.2639818000	-0.41040899	-0.2299300400	-0.3338552300	-0.5206223400	-0.5726119300	-0.5500315100	-0.546123700	WALKING
69	1	30	-2.284161e-01	-0.3483181500	-2.284161e-01	-0.3483181500	-0.3976129500	-0.3896573000	-0.0911645150	-0.309500300	-0.515266210	-0.568639550	-0.3808963200	-0.43155563	-0.3620201600	-0.4290680700	-0.3590256800	-0.3934946100	-0.5661725100	-0.602537470	WALKING
70	1	30	-2.587696e-01	-0.3381771600	-2.587696e-01	-0.3381771600	-0.4202021300	-0.4091132500	-0.0702039150	-0.335593000	-0.507262450	-0.541506330	-0.4119499200	-0.40260589	-0.3947668000	-0.4308737500	-0.4514344900	-0.3734417600	-0.5676048600	-0.540050530	WALKING
71	1	26	-1.148530e-01	-0.4146718100	-1.148530e-01	-0.4146718100	-0.2250319900	-0.3083657700	-0.3091121600	-0.493752490	-0.493368430	-0.668093410	-0.3861889500	-0.52191894	-0.2811515500	-0.3468905700	-0.5108736000	-0.5693109800	-0.6349426800	-0.739915030	WALKING
72	1	22	1.242812e-01	-0.1498814400	1.242812e-01	-0.1498814400	0.0937998010	0.1648901800	-0.2138405000	-0.385606370	-0.438312210	-0.489747270	0.0603799670	-0.42855518	0.1001257700	0.2344542800	-0.4395497700	-0.4538233900	-0.5374348100	-0.466023700	WALKING
73	1	22	3.505277e-02	-0.2145866300	3.505277e-02	-0.2145866300	-0.0298576030	-0.0086497055	-0.2060635800	-0.373095150	-0.461419440	-0.499833480	-0.0923716070	-0.41516647	-0.0132611210	-0.0098455273	-0.4742006400	-0.4135720500	-0.5631586400	-0.460133100	WALKING
74	1	24	-2.284931e-01	-0.4075814800	-2.284931e-01	-0.4075814800	-0.3333929800	-0.4160556800	-0.3951688400	-0.558238880	-0.511644960	-0.605432440	-0.3785498100	-0.51627345	-0.3931570900	-0.4432362800	-0.5152878000	-0.6733424500	-0.5966345000	-0.645516480	WALKING
75	1	6	-1.237810e-01	-0.3291001800	-1.237810e-01	-0.3291001800	-0.1464019100	-0.2061984000	-0.0643598240	-0.091663466	-0.099574348	-0.173506760	-0.2782987900	-0.46333579	-0.1578149400	-0.2759295000	-0.0284937890	-0.3051504700	-0.1892418100	-0.211379700	WALKING
76	1	5	-1.258761e-01	-0.3956518700	-1.258761e-01	-0.3956518700	-0.2606504300	-0.3906468800	-0.4176118500	-0.591797620	-0.464673070	-0.552329600	-0.3080473000	-0.54494310	-0.3394134000	-0.4670140500	-0.5455812400	-0.7049581300	-0.6187136900	-0.506864110	WALKING
77	1	22	8.355485e-02	-0.1742189600	8.355485e-02	-0.1742189600	0.0603478000	0.1694994300	-0.2203959700	-0.394082750	-0.461011670	-0.531083790	-0.0060482331	-0.41540990	0.1326924500	0.2100198000	-0.4342189000	-0.4702299500	-0.5752111400	-0.509908750	WALKING
78	1	26	-9.888647e-02	-0.2907463900	-9.888647e-02	-0.2907463900	-0.2256518700	-0.1817647600	-0.3714094000	-0.528538210	-0.519949720	-0.595879740	-0.2696410300	-0.41287916	-0.1860725000	-0.1810252200	-0.5560561100	-0.5904683700	-0.5894957400	-0.632693970	WALKING
79	1	7	-6.832654e-02	-0.1838416700	-6.832654e-02	-0.1838416700	-0.1630003100	0.0328149830	-0.2692579800	-0.067567683	-0.221823050	0.040096178	-0.1663248400	-0.32048557	-0.0017480393	0.0680052170	-0.0358537550	-0.2575269400	-0.0623001070	0.091644325	WALKING
80	1	14	-2.715722e-01	-0.4623402700	-2.715722e-01	-0.4623402700	-0.5173320000	-0.5546533000	-0.2240957400	-0.227222720	-0.596344450	-0.701459520	-0.5014835000	-0.52450282	-0.5559790800	-0.5516077600	-0.3680746800	-0.2677634300	-0.7085217400	-0.713048270	WALKING
81	1	14	-2.478326e-01	-0.3838160700	-2.478326e-01	-0.3838160700	-0.4698802400	-0.5351487000	-0.1652597600	-0.170386710	-0.569131790	-0.631370280	-0.4390653500	-0.45007839	-0.5379577500	-0.5273284600	-0.2585367400	-0.2524363200	-0.6069397300	-0.692918650	WALKING
82	1	5	-4.936103e-02	-0.3558682200	-4.936103e-02	-0.3558682200	-0.2063923900	-0.2638650500	-0.3486864400	-0.447625370	-0.372169860	-0.407652290	-0.2597583700	-0.51721947	-0.2817813800	-0.2462993500	-0.4155279100	-0.5715397900	-0.4855779500	-0.357773730	WALKING
83	1	14	-1.292545e-01	-0.2380072600	-1.292545e-01	-0.2380072600	-0.3558086200	-0.4182023900	-0.0404138180	-0.134817300	-0.481201820	-0.586098280	-0.2332729000	-0.35888920	-0.4063586100	-0.4364504200	-0.2007421500	-0.2378439800	-0.5519648500	-0.666954770	WALKING
84	1	14	-1.049139e-01	-0.2916838700	-1.049139e-01	-0.2916838700	-0.3304975600	-0.3834016800	-0.1006022900	-0.208665350	-0.495159840	-0.571798030	-0.2526237500	-0.42445880	-0.3693587500	-0.4049301200	-0.2982848400	-0.2832403800	-0.5657210200	-0.609986350	WALKING
85	1	14	-1.061164e-01	-0.3526629400	-1.061164e-01	-0.3526629400	-0.3371164200	-0.3374244100	-0.1532382500	-0.213433460	-0.516452430	-0.604815850	-0.3129417900	-0.47634658	-0.3457469900	-0.3251188300	-0.3376764800	-0.2658645700	-0.5793369300	-0.670581930	WALKING
86	1	14	-1.063596e-01	-0.4076749600	-1.063596e-01	-0.4076749600	-0.3652562000	-0.4119726200	-0.1443418600	-0.211117440	-0.510586570	-0.613493950	-0.3956690400	-0.50614697	-0.3801492000	-0.4577247700	-0.3479749900	-0.2565262900	-0.5945239100	-0.668410990	WALKING
87	1	22	4.071259e-02	-0.1269833800	4.071259e-02	-0.1269833800	-0.0452730960	0.0730878690	-0.2258891600	-0.387449190	-0.485402100	-0.509886400	0.0151690420	-0.35466310	0.0140313290	0.1363408700	-0.4659289400	-0.4393259400	-0.5674418200	-0.475457280	WALKING
